phase,start_date,end_date,project,organization,source_url
Summer Phase IV,08-10-2018,05-11-2018,Monitoring of Arctic clouds precipitation,ESSO-NCAOR,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase IV,08-10-2018,05-11-2018,"Long Term Environmental Monitoring of Fjord Ecosystems, Ny-Ålesund",M.G. University,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase IV,08-10-2018,05-11-2018,Bacterial community dynamics in Arctic ecosystem,ESSO-NCAOR,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase IV,08-10-2018,05-11-2018,Detection of high Z cosmic rays (HZE) at Arctic region and their effects.,NIT-Kurukshetra,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase IV,08-10-2018,05-11-2018,"Survival of mesophilic health significant bacteria in the fjord sediment, water and nearby tundra and role of mesophilic intruders in the dissemination of antibiotic resistant genes in the Arctic environment.",CUSAT,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase III,06-09-2017,04-10-2018,"Ice dynamics of the glaciers from Broggerbreen Peninsula based on the glaciological studies on VestreBroggerbreen Glaciers, Svalbard, Arctic.",GSI,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase III,06-09-2017,04-10-2018,"Mass balance and dynamics of selected glaciers of Spitsbergen, Svalbard.","JNU, ESSO-NCAOR",https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase III,06-09-2017,04-10-2018,Bacterial community dynamics in Arctic ecosystem,ESSO-NCAOR,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase III,06-09-2017,04-10-2018,Long-term monitoring of Kongsfjorden system of Arctic region for climate change studies.,ESSO-NCAOR,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase II,02-08-2018,03-09-2018,Long-term monitoring of Kongsfjorden system of Arctic region for climate change studies.,ESSO-NCAOR,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase II,02-08-2018,03-09-2018,Characterization of Polar Aerosols: Source processes and climate impacts,SPL,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase II,02-08-2018,03-09-2018,Primary productivity and bio-optical studies for understanding dynamics of Kongsfjorden and Krossfjorden during summer.,"ESSO-NCAOR, NRSC",https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase II,02-08-2018,03-09-2018,Plankton ecology and food web dynamics.,CMLRE,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase II,02-08-2018,03-09-2018,"Palaeoenvironmental reconstructions of the Late Pleistocene deposits of (Northwestern) Spitsbergen, Svalbard- constraints from benthic foraminiferal records.",Jadavpur University,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase II,02-08-2018,03-09-2018,"Characterising permafrost degradation in Svalbard: Aerosols, GHGs and Freeze-Thaw Dynamics and its impacts on ecosystem",NRSC-IITKanpur,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase I,28-06-2018,30-07-2018,"Long Term Environmental Monitoring of Fjord Ecosystems, Ny-Ålesund",M.G. University,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase I,28-06-2018,30-07-2018,Long term monitoring programme on Vertical Migration of Zooplankton and their role in the biogeochemistry of Kongsfjorden.,ZSI,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase I,28-06-2018,30-07-2018,Organic Matter Characterization from Arctic Fjord Sediments- Humic substances and their role in metal binding,KUFOS,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase I,28-06-2018,30-07-2018,Functional importance and responses of meiofauna to environmental gradients in the Arctic fjord.,CUSAT,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase I,28-06-2018,30-07-2018,Biogeochemistry of radiatively important gases in the pelagic realms of Arctic fjords (Kongsfjorden) with relation to hydrodynamics and ecosystem functioning,ESSO-NCAOR,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase I,28-06-2018,30-07-2018,Studies on the measurement of Ultraviolet-B radiations and its impact on U.V. absorbing pigments in plant species growing in Ny-Ålesund.,Avadh University,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase IV,02-10-2017,03-11-2017,Monitoring of Arctic clouds precipitation,ESSO-NCAOR,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase IV,02-10-2017,03-11-2017,"Long Term Environmental Monitoring of Fjord Ecosystems, Ny-Ålesund",M.G. University,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase IV,02-10-2017,03-11-2017,"Benthic studies of Kongsfjorden, west coast of Spitsbergen, Svalbard",Pondicherry University,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase IV,02-10-2017,03-11-2017,Organic matter characterization from Arctic fjord sediments.,KUFOS,https://www.ncpor.res.in/arctics/display/391-projects-implemented
Summer Phase IV,02-10-2017,03-11-2017,Long-term monitoring of Kongsfjorden system of Arctic region for climate change studies.,ESSO-NCAOR,https://www.ncpor.res.in/arctics/display/391-projects-implemented
