department,name,designation,profile_url,source_url
Arctic Operations,Dr. Manish Tiwari,Scientist F & Group Director,https://www.ncpor.res.in/profiles/details/31,https://www.ncpor.res.in/arctics/display/392-team-members
Arctic Expedition Logistics,Dr. Rohit Srivastava,Scientist E & SIC,https://www.ncpor.res.in/profiles/details/229,https://www.ncpor.res.in/arctics/display/392-team-members
Arctic Expedition Logistics,Ms. Nazira Begum,Scientific Assistant Grade A,https://www.ncpor.res.in/profiles/details/180,https://www.ncpor.res.in/arctics/display/392-team-members
Ocean Atmospheric Studies,Dr. Nuncio Murukesh,Scientist E & SIC,https://www.ncpor.res.in/profiles/details/65,https://www.ncpor.res.in/arctics/display/392-team-members
Ocean Atmospheric Studies,Dr. Rohit Srivastava,Scientist E,https://www.ncpor.res.in/profiles/details/229,https://www.ncpor.res.in/arctics/display/392-team-members
Ocean Atmospheric Studies,Ms. Divya David Thresyamma,Scientist E,https://www.ncpor.res.in/profiles/details/116,https://www.ncpor.res.in/arctics/display/392-team-members
Ocean Atmospheric Studies,Dr. Arnab Mukherjee,Scientist E,https://www.ncpor.res.in/profiles/details/316,https://www.ncpor.res.in/arctics/display/392-team-members
Ocean Atmospheric Studies,Mr. Sourav Chatterjee,Scientist D,https://www.ncpor.res.in/profiles/details/221,https://www.ncpor.res.in/arctics/display/392-team-members
Ocean Atmospheric Studies,Dr. Vidya P. J,Scientist D,https://www.ncpor.res.in/profiles/details/220,https://www.ncpor.res.in/arctics/display/392-team-members
Ocean Atmospheric Studies,Ms. Teesha Mathew,Project Scientist I,https://www.ncpor.res.in/profiles/details/350,https://www.ncpor.res.in/arctics/display/392-team-members
Ocean Atmospheric Studies,Ms. Athulya R.,Project Scientist I,https://www.ncpor.res.in/profiles/details/320,https://www.ncpor.res.in/arctics/display/392-team-members
Arctic Ecology & Biogeochemistry,Dr. Anand Jain,Scientist E & SIC,https://ncpor.res.in/profiles/details/179,https://www.ncpor.res.in/arctics/display/392-team-members
Arctic Ecology & Biogeochemistry,Ms. Archana Singh,Scientist D,https://ncpor.res.in/profiles/details/201,https://www.ncpor.res.in/arctics/display/392-team-members
Arctic Ecology & Biogeochemistry,Ms. Nazira Begum,Scientific Assistant Grade A,https://www.ncpor.res.in/profiles/details/180,https://www.ncpor.res.in/arctics/display/392-team-members
Arctic Ecology & Biogeochemistry,Dr. Vipindas P. V,Project Scientist II,https://www.ncpor.res.in/profiles/details/262,https://www.ncpor.res.in/arctics/display/392-team-members
Arctic Ecology & Biogeochemistry,Dr. Venkatachalam S,Project Scientist II,https://www.ncpor.res.in/profiles/details/264,https://www.ncpor.res.in/arctics/display/392-team-members
Arctic Ecology & Biogeochemistry,Dr. Jabir. T,Project Scientist II,https://www.ncpor.res.in/profiles/details/263,https://www.ncpor.res.in/arctics/display/392-team-members
