category,subcategory,title,url
Atmosphere,Aerosols,Search For Datasets »,https://npdc.ncpor.res.in/npdc/search_mf_title_all.action?search=title&expedition_type=all&parameter=Atmosphere&parameter1=Aerosols#
Atmosphere,Aerosols,Data Availability,http://data.ncpor.res.in/newhtml
Atmosphere,Aerosols,SOE : Scientific Voyage Details,https://npdc.ncpor.res.in/npdc/voyage.action
Atmosphere,Aerosols,Weather and Environment,https://npdc.ncpor.res.in/npdc/weather_and_env.action
Atmosphere,Aerosols,Search AWS & Meteorological Datasets,https://npdc.ncpor.res.in/pdc
Atmosphere,Aerosols,Sagar Kanya Cruise Report,https://npdc.ncpor.res.in/npdc/cruiseSummary.jsp
Atmosphere,Aerosols,Surface Data at Maitri & Gangotri,https://npdc.ncpor.res.in/npdc/surfacedata_gangotri_maitri.jsp
Atmosphere,Aerosols,Synoptic Data From Bharti Station (2016-21),http://synopticdata.ncpor.res.in:8000/
Atmosphere,Aerosols,New Datasets,https://npdc.ncpor.res.in/npdc/submit_new_dataset.action
Atmosphere,Aerosols,Last Submitted Datasets,https://npdc.ncpor.res.in/npdc/recent_user_submissions.action
Atmosphere,Aerosols,Polar View,https://www.polarview.aq/antarctic
Atmosphere,Aerosols,NCMRWF - Southern Ocean,https://www.ncmrwf.gov.in/product_main_sout_mihir.php
Atmosphere,Aerosols,NCMRWF - Sea-ice Arctic,https://www.ncmrwf.gov.in/product_main_polar.php
Atmosphere,Aerosols,NCMRWF - Sea-ice Antarctic,https://www.ncmrwf.gov.in/product_main_polar_antarctic.php
Atmosphere,Aerosols,Search by Data Types,https://data.ncpor.res.in/search/
Atmosphere,Aerosols,Free Text,https://npdc.ncpor.res.in/npdc/freeTextSearch_all.action
Atmosphere,Aerosols,"Sign
					In",https://npdc.ncpor.res.in/npdc/sign_in.action
Atmosphere,Aerosols,View metadata,https://npdc.ncpor.res.in/npdc/search_mf_data.action?search=title&expedition_type=Antarctic&parameter=MF-1045999464&userType=user&parameter1=Aerosols
Atmosphere,Aerosols,View metadata,https://npdc.ncpor.res.in/npdc/search_mf_data.action?search=title&expedition_type=Antarctic&parameter=MF-1136515254&userType=user&parameter1=Aerosols
