website_year,publication_year,authors,title,journal,volume,issue,pages,doi,details,source_url
2018,20,Binish et al,"Mercury tolerance and biosorption in bacteria isolated from Ny-Ålesund, Svalbard, Arctic.",Journal of Basic Microbiology,58,4,286-295,,"Volume 58, Issue 4, Pages 286-295",https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Mohan et al,"Bacterial communities from near glacier and transition zones of Kongsfjorden , Arctic : A metagenomic study.",Indian J.Sci.Res,20,1,56-62,,"Volume 20, Issue 1, Pages 56-62",https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Nejumal et al,Presence of bisphenol S and surfactants in the sediments of Kongsfjorden: a negative impact of human activities in Arctic?,Environmental Monitoring and Assessment,190,,22,,"Volume 190, Pages 22",https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Gogoi et al,Scavenging ratio of black carbon in the Arctic and the Antarctic.,Polar Science16,,,10-22,,Pages 10-22,https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Alikunju et al,"A Statistical Approach to Optimize Cold Active β-Galactosidase Production by an Arctic Sediment Pscychrotrophic Bacteria, Enterobacter ludwigii (MCC 3423) in Cheese Whey.",Catalysis Letters,148,,712–724,,"Volume 148, Pages 712–724",https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Sinha et al,"Population dynamics of bacterioplanktonic component associated with the phytoplankton biomass in Kongsfjorden, an Arctic fjord.",Current Science,115,9,1690-1694,,"Volume 115, Issue 9, Pages 1690-1694",https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Mohan et al,"Rate of sediment accumulation and historic metal contamination in a tidewater glacier fjord, Svalbard.",Marine Pollution Bulletin,131,Part A,453-459,,"Volume 131, Issue Part A, Pages 453-459",https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Kachiprath et al,"Amplicon sequencing based profiling of bacterial diversity from Krossfjorden, Arctic.",Data in Brief,21,,2522-2525,,"Volume 21, Pages 2522-2525",https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Singh et al,"Spatial distribution and environmental assessment of heavy metals in the surface sediments of Kongsfjorden, Svalbard.",CZECH POLAR REPORTS,8,1,1-23,,"Volume 8, Issue 1, Pages 1-23",https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Kumar et al,Warming in the Arctic Captured by productivity variability at an Arctic Fjord over the past two centuries.,PLos,,,,10.1371/journal.pone.0201456,,https://www.ncpor.res.in/arctics/display/390-publications
2018,20,Tiwari et al,Oxygen isotope-salinity relation in an Arctic fjord (Kongsfjorden): Implications to hydrographic variability.,Geoscience Frontiers,9,6,1937-1943,,"Volume 9, Issue 6, Pages 1937-1943",https://www.ncpor.res.in/arctics/display/390-publications
2017,20,Anand Jain and Kottekkatu Padinchati Krishnan,"Differences in free-living and particle-associated bacterial communities and their spatial variation in Kongsfjorden, Arctic. Jonural of Basic Microbiology 10: 827-838.",,,,,,,https://www.ncpor.res.in/arctics/display/390-publications
2017,20,"R upesh Kumar Sinha, Kottekkattu Padinchati Krishnan, Savita Kerkar,  Divya David Thresyamma","Influence of glacial melt and Atlantic  water on bacterioplankton community of Kongsfjorden, an Arctic fjord.  Ecological Indicators 82: 143–151.",,,,,,,https://www.ncpor.res.in/arctics/display/390-publications
2017,20,"Archana Singh, Kottekattu P. Krishnan, Dharmar Prabaharan, Rupesh K.  Sinha","Lipid membrane modulation and pigmentation: A  cryoprotection mechanism in Arctic pigmented bacteria. Journal of Basic  Microbiology, 57: 770-780.",,,,,,,https://www.ncpor.res.in/arctics/display/390-publications
2017,20,Anand Jain and Kottekkatu Padinchati Krishnan,"A Glimpse of the diversity of complex polysaccharide degrading culturable bacteria from Kongsfjorden, Arctic Ocean",Annals of Microbiology,67,2,203–214,,"Volume 67, Issue 2, Pages 203–214",https://www.ncpor.res.in/arctics/display/390-publications
2017,20,"Rupesh Kumar Sinha, K. P. Krishnan, Savita Kerkar, T. Divya David","Spatio-Temporal Monitoring and Ecological Significance of Retrievable Pelagic Heterotrophic Bacteria in Kongsfjorden, an Arctic Fjord Indian Journal of Microbiology, Volume 57, Issue 1, pp 116–120",,,,,,,https://www.ncpor.res.in/arctics/display/390-publications
2017,20,"Rupesh Kumar Sinha, Kottekkatu Padinchati Krishnan, Ammanamveetil Abdulla Mohamed Hatha, Mujeeb Rahiman,Divya David Thresyamma,Savita Kerkar,","Diversity of retrievable heterotrophic bacteria in Kongsfjorden, an Arctic fjord.","Brazilian Journal of Microbiology,  Volume 48, Issue 1, January–March 2017, Pages",,,51–61,,Pages 51–61,https://www.ncpor.res.in/arctics/display/390-publications
2017,20,"M Dhaneesha, C Benjamin Naman, KP Krishnan, Rupesh Kumar Sinha, P Jayesh, Valsamma Joseph, IS Bright Singh, William H Gerwick, and TP Sajeevan,",Streptomyces artemisiae MCCB 248 isolated from Arctic fjord sediments has unique PKS and NRPS biosynthetic genes and produces potential new anticancer natural products.,3 Biotech May,7,1,32,,"Volume 7, Issue 1, Pages 32",https://www.ncpor.res.in/arctics/display/390-publications
2017,20,"Purnima Singh, Neelam Kapse, Utpal Roy, Shiv Mohan Singh, PK Dhakephalkar","Draft Genome Sequence of Permafrost Bacterium Nesterenkonia sp. Strain PF2B19, Revealing a Cold Adaptation Strategy and Diverse Biotechnological Potential.",Genome Announc. April,5,,15,,"Volume 5, Pages 15",https://www.ncpor.res.in/arctics/display/390-publications
2017,20,"Akhilandeswarre Dharmaprakash, Dinesh Reghunathan, Krishnakutty C. Sivakumar, Manoj Prasannakumar, Sabu Thomas",Insights into the Genome Sequences of an N -Acyl Homoserine Lactone Molecule Producing Two Pseudomonas spp. Isolated from the Arctic.,Genome Announc. 2016,4,,4,,"Volume 4, Pages 4",https://www.ncpor.res.in/arctics/display/390-publications
2017,20,"Mahesh Mohan, Chandini PK, KP Krishnan, Gopikrishana VG , Sajinkumar KS, Kannan VM","Mercury Fractionation in the Sediments of Kongsfjorden, an Arctic Fjord, Svalbard.",International Journal of Marine Science,7,,26,,"Volume 7, Pages 26",https://www.ncpor.res.in/arctics/display/390-publications
2017,20,"Shiv Mohan Singh, Avinash Kumar, Parmanand Sharma, Ravindra Uttam Mulik, Ajay Kumar Upadhyay, Rasik Ravindra","Elemental variations in glacier cryoconites of Indian Himalaya and Spitsbergen, Arctic.",Geoscience Frontiers,,,,10.1016/j.gsf.2017.01.002,,https://www.ncpor.res.in/arctics/display/390-publications
2016,20,Divya David and Kottekkatu Padinchati Krishnan,"Recent variability in the Atlantic water intrusion and water masses in Kongsfjorden, an Arctic fjord.",Polar Science (dx.doi.org/,,,,10.1016/j.polar.2016.11.004,,https://www.ncpor.res.in/arctics/display/390-publications
2016,2016,Unknown,"Aneesa P   Alikkunju  et al 2016. Screening and   Characterization of Cold-Active β-Galactosidase Producing Psychrotrophic   Enterobacter ludwigii from the Sediments of Arctic Fjord. Appl Biochem   Biotechnol (In press, DOI=016-2111-y)",,,,,10.1007/s12010,,https://www.ncpor.res.in/arctics/display/390-publications
2016,2016,Unknown,"Mukunda M. Gogoi   and S. Suresh Babu 2016. Aerosol optical properties over the Svalbard   region of Arctic: ground-based measurements and satellite remote sensing.   Proc. SPIE 9876, Remote Sensing of the Atmosphere, Clouds, and Precipitation   VI, 98761C (May 5, 2016);",,,,,10.1117/12.222408,,https://www.ncpor.res.in/arctics/display/390-publications
